No.total,Serial No.,StationCo,Name_Kor,Name_Eng,River Syst,River name,Transmissi,Instrument,Address,Longitude,Latitude,Longitude_,Latitude_d,Beginning,Tidal,Elevation,Elevatio_1,Possible,Discharge,Drainage A,Distance f,Grade of,Remarks,Management,classifica,권역,Level,선정1,Final,확대지점,type,주의수위,경계수위,심각수위,기왕 최대수위,기왕 최대수위 사상,경계수위 초과유무,경계수위 초과사상,심각수위 초과유무,심각수위 초과사상,Hydro model,Rating curve,시나리오대상,Basic Model,Predict Rainfall Model,Scenario model,Representative,
11,11,1001658,정선군(광하교),Jeongseongun(Gwanghagyo),한강,한강,VHF/M2M,레이더식,강원특별자치도 정선군 정선읍 광하리 광하교,128-37-08,37-22-11,128.6188889,37.36972222,2013-12-31,무,273.539,300.178,10,무,"1,792.24",370.66,최적(A),1.1~2.10 동절기 하천결빙으로 결측,환경부,,한강,국가,,,,본류,,,,,,,,,,,,,,,,,
12,12,1001660,정선군(낙동교),Jeongseongun(Nakdonggyo),한강,지장천,VHF/M2M,레이더식/레이더식,강원특별자치도 정선군 남면 낙동리 낙동교,128-41-37,37-19-08,128.6936111,37.31888889,2009-10-27,무,324.016,330.112,5,무,188.43,11.19,최적(A), ,환경부,확대특보지점,한강,지방,확대특보지점,O,,지류,,3,3.5,4,4.41,,O,"2018-09-04, 2020-08-02, 2020-08-06, 2020-09-03, 2022-08-11, 2022-09-06, 2023-07-14, 2023-08-10",O,"2018-09-04, 2022-08-11, 2023-07-15",O,O,X,●,,,기본
13,13,1001670,영월군(거운교),Yeongwolgun(Geoungyo),한강,한강,VHF/M2M,부자식/레이더식,강원특별자치도 영월군 영월읍 거운리 거운교,128-30-44,37-14-05,128.5122222,37.23472222,1962-12-01,무,196.936,211.941,12,유,"2,274.28",322.61,최적(A),"1.1~2.6 동절기 하천결빙으로 결측, 광동댐, 도암댐 방류 영향",환경부,,한강,국가,,,,본류,,,,,,,,,,,,,,,,,
14,14,1001690,영월군(영월대교),Yeongwolgun(Yeongwoldaegyo),한강,한강,VHF/M2M,부자식/레이더식,강원특별자치도 영월군 영월읍 덕포리 영월대교,128-28-31,37-10-55,128.4752778,37.18194444,1917-06-01,무,183.205,198.45,12,유,"2,436.08",311.45,최적(A),1.1~2.3 동절기 하천결빙으로 결측,환경부,현재특보지점,한강,국가,현재특보지점,O,,본류,,6,8,10.5,1900-01-07 5:02,41470.82639,X,,X,,O,O,O,○,,●,시나리오
15,15,1002605,평창군(이목정교),Pyeongchanggun(Imokjeonggyo),한강,속사천,VHF/M2M,부자식,강원특별자치도 평창군 용평면 이목정리 이목정교,128-28-19,37-37-17,128.4719444,37.62138889,1982-04-01,무,590.873,598.566,4,유,56.55,13.49,최적(A),"1.1~1.13, 1.16~3.2, 12.20~12.31 동절기 하천결빙으로 결측",환경부,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
16,16,1002610,평창군(장평교),Pyeongchanggun(Jangpyeonggyo),한강,속사천,VHF/M2M,부자식/레이더식,강원특별자치도 평창군 용평면 장평리 장평교,128-24-46,37-35-11,128.4127778,37.58638889,1982-04-01,무,526.963,534.872,7,유,104.99,5.03,우수(B),"1.1~1.13, 1.16~2.27, 11.29~12.7, 12.18~12.31 동절기 하천결빙으로 결측",환경부,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
17,17,1002615,평창군(진전교),Pyeongchanggun(Jinjeongyo),한강,흥정천,VHF/M2M,레이더식/레이더식,강원특별자치도 평창군 용평면 백옥포리 진전교,128-23-29,37-35-10,128.3913889,37.58611111,1982-04-01,무,521.655,533.662,4,유,143.96,4.8,최적(A),"1.1~2.9 동절기 하천결빙으로 결측, 2.27 평창군(백옥포교) → 평창군(진전교) 관측소명 변경",환경부,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
18,18,1002625,평창군(선애교),Pyeongchanggun(Sunaegyo),한강,평창강,VHF/M2M,부자식,강원특별자치도 평창군 대화면 상안미리 선애교,128-24-36,37-28-28,128.41,37.47444444,1982-04-01,무,385.387,395.077,8,유,394.3,101.17,최적(A),"1.1~1.13, 1.17~2.27, 12.17~12.31 동절기 하천결빙으로 결측",환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
19,19,1002635,평창군(사초교),Pyeongchanggun(Sachogyo),한강,대화천,VHF/M2M,부자식,강원특별자치도 평창군 대화면 하안미리 사초교,128-26-23,37-27-19,128.4397222,37.45527778,1982-04-01,무,374.616,383.369,4,무,84.81,0.77,우수(B),"1.1~4.6 동절기 하천결빙 및 건천화로 결측, 갈수기 건천, 가동보 영향",환경부,,한강,지방,추가,O,,지류,,3.5,4.5,5,1900-01-03 22:33,41470.54861,X,,X,,O,O,O,○,,●,시나리오
20,20,1002640,평창군(상방림교),Pyeongchanggun(Sangbangrimgyo),한강,평창강,VHF/M2M,부자식,강원특별자치도 평창군 방림면 방림리 상방림교,128-25-02,37-25-53,128.4172222,37.43138889,1982-04-01,무,359.217,367.009,7,유,528.49,93.77,최적(A),1.1~1.2 동절기 하천결빙으로 결측,환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
21,21,1002650,평창군(평창교),Pyeongchanggun(Pyeongchanggyo),한강,평창강,VHF/M2M,부자식/레이더식,강원특별자치도 평창군 평창읍 중리 평창교,128-24-22,37-22-04,128.4061111,37.36777778,1958-01-01,무,288.472,297.799,8,유,696.93,70.87,최적(A),1.1~1.13 동절기 하천결빙으로 결측,환경부,현재특보지점,한강,국가,현재특보지점,O,,지류,,3.5,4.5,5.9,4.7,,O,41470,X,,O,O,X,●,,,기본
22,22,1002675,횡성군(안흥교),Hoengseonggun(Anheunggyo),한강,주천강,VHF/M2M,부자식/레이더식,강원특별자치도 횡성군 안흥면 안흥리 안흥교,128-09-18,37-24-44,128.155,37.41222222,2006-10-23,무,414.303,424.277,7,유,187.45,58.27,최적(A),1.1~3.10 동절기 하천결빙으로 결측,환경부,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
23,23,1002680,영월군(두학교),Yeongwolgun(Duhackgyo),한강,주천강,VHF/M2M,레이더식,강원특별자치도 영월군 수주면 두산리 두학교,128-11-33,37-17-47,128.1925,37.29638889,2013-12-31,무,306.256,316.429,7,무,375.67,33.51,최적(A),4.13~5.3 계기수위 오류로 결측,환경부,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
24,24,1002685,영월군(주천교),Yeongwolgun(Jucheongyo),한강,주천강,VHF/M2M,레이더식/레이더식,강원특별자치도 영월군 주천면 주천리 주천교,128-15-57,37-16-03,128.2658333,37.2675,1962-07-01,무,240.555,248.851,8,유,533.75,14.53,최적(A), ,환경부,현재특보지점,한강,지방,현재특보지점,O,,지류,,5,6,6.8,1900-01-05 20:38,40727.88889,X,,X,,O,O,O,○,,●,시나리오
25,25,1002687,영월군(신천교),Yeongwolgun(Sincheongyo),한강,주천강,VHF/M2M,부자식,강원특별자치도 영월군 한반도면 신천리 신천교,128-19-54,37-13-47,128.3316667,37.22972222,2007-07-18,무,211.492,223.538,10,유,599.66,0.96,최적(A),"1.1~2.7, 12.17~12.31 동절기 하천결빙, 7.1~7.5 계기수위 오류로 결측, 본류 배수 영향, 영점표고검정수준점 표고 오류 수정",환경부,,한강,지방,추가,O,,지류,,5.5,6.5,7.5,1900-01-05 19:12,44782.53472,X,,X,,O,O,O,○,,●,시나리오
26,26,1002693,영월군(농공단지교),Yeongwolgun(Nonggongdanjigyo),한강,문곡천,INMARSAT/M2M,레이더식,강원특별자치도 영월군 북면 문곡리 농공단지교,128-25-21,37-13-18,128.4225,37.22166667,2023-01-27,무,199.577,207.5,8,무,85.35,2.54,최적(A),2022.12.23 관측소 신설 및 2023.1.27 관측개시,환경부,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
27,27,1002698,영월군(팔괴교),Yeongwolgun(Palgoegyo),한강,평창강,VHF/M2M,부자식/레이더식,강원특별자치도 영월군 영월읍 하송리 팔괴교,128-27-19,37-10-19,128.4552778,37.17194444,2007-07-18,무,181.215,199.979,15,유,1766.97,1.09,최적(A),"1.1~2.7 동절기 하천결빙으로 결측, 본류 배수 영향",환경부,,한강,국가,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
28,28,1003605,영월군(충혼교),Yeongwolgun(Chunghongyo),한강,옥동천,VHF/M2M,레이더식,강원특별자치도 영월군 중동면 녹전리 충혼교,128-40-51,37-08-32,128.6808333,37.14222222,2016-11-07,무,269.682,278.112,7.3,무,229.6,20.22,최적(A),1.1~2.10 동절기 하천결빙으로 결측,환경부,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
29,29,1003620,영월군(옥동교),Yeongwolgun(Okdonggyo),한강,옥동천,VHF/M2M,부자식/레이더식,강원특별자치도 영월군 김삿갓면 옥동리 옥동교,128-33-51,37-07-20,128.5641667,37.12222222,2000-03-01,무,183.969,191.724,9,유,483.67,4.01,최적(A), ,환경부,확대특보지점,한강,지방,확대특보지점,O,,지류,,4.5,5.5,6.9,4.5,45122.32639,X,,X,,O,O,O,○,,●,시나리오
30,30,1003636,단양군(가대교),Danyanggun(Gadaegyo),한강,한강,VHF/M2M,레이더식,충청북도 단양군 가곡면 가대리 가대교,128-24-20,37-02-25,128.4055556,37.04027778,2016-11-07,무,139.454,157.014,17.5,무,"4,971.62",277.15,최적(A), ,환경부,,한강,국가,,,,본류,,,,,,,,,,,,,,,,,
31,31,1003642,단양군(덕천교),Danyanggun(Dukcheongyo),한강,한강,VHF/M2M,부자식,충청북도 단양군 가곡면 덕천리 덕천교,128-23-21,37-00-20,128.3891667,37.00555556,2010-11-11,무,135.027,160.795,15,무,5088.49,272.81,최적(A),"6.22~6.27 부자걸림으로 결측, 충주댐 배수 영향",환경부,,한강,국가,,,,본류,,,,,,,,,,,,,,,,,
32,32,1003645,단양군(단양1교),Danyanggun(Danyang1gyo),한강,죽령천,VHF/M2M,레이더식/레이더식,충청북도 단양군 단성면 북하리 단양1교,128-20-08,36-55-52,128.3355556,36.93111111,2016-11-07,무,140.903,147.763,4.8,유,129.76,3.2,최적(A),1.1~2.9 동절기 하천결빙으로 결측,환경부,확대특보지점,한강,지방,확대특보지점,O,,지류,,4,5,5.8,3.93,45122.20833,X,,X,,O,O,O,○,,●,시나리오
33,33,1003657,제천시(강저3교),Jecheonsi(gangjeo3gyo),한강,장평천,VHF/M2M,레이더식,충청북도 제천시 강제동 강저3교,128-12-14,37-07-22,128.2038889,37.12277778,2022-04-01,무,227.634,235.672,6,유,53.1,9.5,최적(A), ,환경부,확대특보지점,한강,지방,제외,,,지류,,,,,,,,,,,,,,,,,
34,34,1003658,제천시(부수동교),Jecheonsi(Busudonggyo),한강,원서천,VHF/M2M,부자식/레이더식,충청북도 제천시 백운면 방학리 부수동교,128-00-32,37-08-55,128.0088889,37.14861111,2016-11-07,무,219.627,226.328,5.7,유,99.21,10.81,최적(A),1.1~2.11 동절기 하천결빙으로 결측,환경부,확대특보지점,한강,지방,확대특보지점,O,,지류,,3.5,4,5,3.68,45121.77083,X,,X,,O,X,O,○,,●,시나리오
35,35,1003660,제천시(팔송교),Jecheonsi(Palsonggyo),한강,제천천,VHF/M2M,부자식/레이더식,충청북도 제천시 봉양읍 팔송리 팔송교,128-07-11,37-08-50,128.1197222,37.14722222,2014-12-29,무,214.71,220.593,6,무,145.97,43.48,최적(A),"1.1~1.10 동절기 하천결빙으로 결측, 하류 고정보 영향",환경부,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
36,36,1003661,제천시(구곡교),Jecheonsi(Gugokgyo),한강,제천천,VHF/M2M,부자식/레이더식,충청북도 제천시 봉양읍 구곡리 구곡교,128-06-22,37-06-44,128.1061111,37.11222222,2015-12-30,무,185.267,193.67,7,무,287.26,58.34,최적(A),1.1~2.11 동절기 하천결빙으로 결측,환경부,확대특보지점,한강,지방,확대특보지점,O,,지류,,4.5,5.5,6.5,5.56,,O,45121,X,,O,X,X,●,,,기본
37,37,1004616,청주시(청석굴교),Cheongjusi(Cheongseokgulgyo),한강,감천,INMARSAT/M2M,레이더식,충청북도 청주시 미원면 운암리 청석굴교,127-40-54,36-36-43,127.6816667,36.61194444,2023-01-27,무,209.399,219.824,8,무,112.96,2.14,최적(A),2022.12.23 관측소 신설 및 2023.1.27 관측개시,환경부,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
38,38,1004620,청주시(옥화1교),Cheongjusi(Okhwa1gyo),한강,달천,INMARSAT/M2M,레이더식,충청북도 청주시 상당구 미원면 옥화리 옥화1교,127-42-06,36-36-55,127.7016667,36.61527778,2014-12-29,무,198.602,206.839,6,무,258.92,85.7,최적(A),"1.1~2.13 동절기 하천결빙, 7.15~7.21 홍수로 인한 수위계 고장으로 결측",환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
39,39,1004645,괴산군(수전교),Goesangun(Sujeongyo),한강,달천,INMARSAT/M2M,부자식/레이더식,충청북도 괴산군 칠성면 외사리 수전교,127-50-33,36-46-02,127.8425,36.76722222,1998-01-01,무,110.221,118.057,8,무,682.35,43.66,최적(A),"괴산댐 방류영향, 하류 고정보",환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
40,40,1004646,괴산군(비도교),Goesangun(Bidogyo),한강,쌍천,VHF/M2M,부자식/레이더식,충청북도 괴산군 칠성면 비도리 비도교,127-52-41,36-47-24,127.8780556,36.79,2011-12-14,무,118.175,124.485,5,유,168.84,3.01,최적(A), ,환경부,확대특보지점,한강,지방,확대특보지점,O,,지류,,3,3.5,4.4,4.1,,O,"2012-08-30, 2023-07-15",X,,O,O,X,●,,,기본
41,41,1004661,괴산군(제2괴산교),Goesangun(je2goesangyo),한강,동진천,INMARSAT/M2M,레이더식,충청북도 괴산군 괴산읍 동부리 제2괴산교,127-47-55,36-48-33,127.7986111,36.80916667,2022-04-01,무,105.05,114.456,7,무,54.42,2.4,최적(A), ,환경부,확대특보지점,한강,지방,제외,,,지류,,,,,,,,,,,,,,,,,
42,42,1004670,괴산군(추산교),Goesangun(Chusangyo),한강,음성천,VHF/M2M,부자식/레이더식,충청북도 괴산군 불정면 추산리 추산교,127-48-51,36-53-37,127.8141667,36.89361111,2013-12-31,무,95.281,102.431,5,무,128.44,5.38,최적(A),"1.1~1.18 동절기 하천결빙으로 결측, 상류 가동보, 하류 취입보 영향",환경부,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
43,43,1004680,충주시(문강교),Chungjusi(Munganggyo),한강,석문동천,VHF/M2M,부자식,충청북도 충주시 살미면 문강리 문강교,127-56-46,36-53-16,127.9461111,36.88777778,2014-12-29,무,98.733,105.4,6,무,58.7,3.02,최적(A),"1.1~1.13 동절기 하천결빙으로 결측, 하류 고정보 영향",환경부,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
44,44,1004693,괴산군(목도교),Goesangun(Mokdogyo),한강,달천,VHF/M2M,부자식/레이더식,충청북도 괴산군 불정면 목도리 목도교,127-51-19,36-52-12,127.8552778,36.87,2011-12-14,무,87.793,99.796,9,유,"1,066.82",27.26,최적(A),괴산댐 방류 영향,환경부,현재특보지점,한강,국가,현재특보지점,O,,지류,,3.5,4.5,5.9,8.3,,O,"2012-08-30, 2017-07-16, 2020-07-30, 2022-08-11, 2023-07-14",O,"2017-07-16, 2023-07-15",O,O,X,●,,,기본
45,45,1004695,충주시(국원대교),Chungjusi(Kookwongyo),한강,요도천,VHF/M2M,부자식/레이더식,충청북도 충주시 대소원면 검단리 국원대교,127-52-18,36-57-58,127.8716667,36.96611111,2013-12-31,무,63.819,72.463,5,유,147.85,2,최적(A),"영점표고검정수준점 재설치 및 표고 변경, 하류 보, 상류 용당저수지 방류 영향",환경부,확대특보지점,한강,지방,확대특보지점,O,,지류,,5,6,8.1,4.71,45122.39583,X,,X,,O,O,O,○,,●,시나리오
46,46,1005605,충주시(탄금교),Chungjusi(Tangeumgyo),한강,달천,VHF/M2M,부자식/레이더식,충청북도 충주시 중앙탑면 창동리 탄금교,127-53-24,36-59-19,127.89,36.98861111,2006-10-23,무,62.702,73.581,8,무,1614.34,0.21,최적(A),"1.26~1.31 동절기 하천결빙으로 결측, 충주조정지댐 배수 영향",환경부,,한강,국가,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
47,47,1005640,충주시(목계교),Chungjusi(Mokgyegyo),한강,한강,VHF/M2M,부자식/레이더식,충청북도 충주시 엄정면 목계리 목계교,127-52-52,37-04-34,127.8811111,37.07611111,1917-01-01,무,52.337,66.844,14,유,"8,487.99",183.08,최적(A),충주조정지댐 방류 영향,환경부,,한강,국가,추가선정,,추가선정,본류,,,,,,,,,,,,,,,,,
48,48,1005695,원주시(법천교),Wonjusi(Beopcheongyo),한강,법천천,VHF/M2M,부자식,강원특별자치도 원주시 부론면 법천리 법천교,127-45-15,37-12-16,127.7541667,37.20444444,2006-10-23,무,43.84,55.014,8,무,27.73,0.64,최적(A),"1.1~1.9 동절기 하천결빙으로 결측, 본류 배수 및 하류 고정보 영향",환경부,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
49,49,1005697,원주시(남한강대교),Wonjusi(Namhangangdaegyo),한강,한강,VHF/M2M,레이더식,강원특별자치도 원주시 부론면 법천리 남한강대교,127-44-52,37-12-22,127.7477778,37.20611111,2010-11-11,무,39.676,56.902,13,유,8840.3,162.55,최적(A),지류 배수 영향,환경부,,한강,국가,,,,본류,,,,,,,,,,,,,,,,,
50,50,1006630,횡성군(오산교),Hoengseonggun(Osangyo),한강,금계천,VHF/M2M,부자식/레이더식,강원특별자치도 횡성군 공근면 오산리 오산교,127-59-29,37-31-15,127.9913889,37.52083333,2014-12-29,무,118.391,129.145,8,무,153.74,0.36,최적(A),1.1~1.14 동절기 하천결빙으로 결측,환경부,확대특보지점,한강,지방,확대특보지점,O,,지류,,5,6,6.9,5.91,44783.13194,X,,X,,O,X,O,●,,,기본
51,51,1006650,횡성군(횡성교),Hoengseonggun(Hoengseonggyo),한강,섬강,VHF/M2M,부자식/레이더식,강원특별자치도 횡성군 횡성읍 읍하리 횡성교,127-58-50,37-29-42,127.9805556,37.495,1962-07-01,무,107.053,115.878,8,유,444.52,51.32,최적(A),"1.1~1.6 동절기 하천결빙, 12.16~12.31 교량보수공사에 따른 관측소 이설공사로 일시운영중지, 횡성댐 방류 영향",환경부,,한강,국가,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
52,52,1006660,횡성군(전천교),Hoengseonggun(Jeoncheongyo),한강,전천,VHF/M2M,부자식/레이더식,강원특별자치도 횡성군 횡성읍 교항리 전천교,127-58-53,37-28-56,127.9813889,37.48222222,2006-10-23,무,107.876,114.364,6,무,168.39,1.1,최적(A),"12.20~12.31 동절기 하천결빙으로 결측, 하류 가동보 영향",환경부,확대특보지점,한강,지방,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
53,53,1006665,원주시(원주교),Wonjusi(Wonjugyo),한강,원주천,VHF/M2M,부자식/레이더식,강원특별자치도 원주시 봉산동 원주교,127-57-20,37-20-52,127.9555556,37.34777778,1962-07-01,무,120.223,125.898,6,무,94.25,10.97,최적(A),하류 가동보 영향,환경부,,한강,국가,추가,O,,지류,,2.5,3,4,2.09,40772.36806,X,,X,,O,O,O,○,,●,시나리오
54,54,1006670,원주시(옥산교),Wonjusi(Oksangyo),한강,섬강,VHF/M2M,부자식,강원특별자치도 원주시 호저면 옥산리 옥산교,127-55-18,37-25-43,127.9216667,37.42861111,2012-10-15,무,80.576,93.665,9,무,716.50,35.45,최적(A),"1.1~2.4, 12.18~12.28 동절기 하천결빙으로 결측",환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
55,55,1006672,원주시(장현교),Wonjusi(Janghyungyo),한강,섬강,VHF/M2M,부자식,강원특별자치도 원주시 호저면 신현리 장현교,127-53-53,37-25-13,127.8980556,37.42027778,2007-07-18,무,77.58,90.502,10,유,930.08,32.96,최적(A),횡성댐 방류 영향,환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
56,56,1006680,원주시(지정대교),Wonjusi(Jijungdaegyo),한강,섬강,VHF/M2M,레이더식,강원특별자치도 원주시 지정면 간현리 지정대교,127-49-54,37-21-42,127.8316667,37.36166667,1962-07-01,무,59.492,70.556,11,유,1186.67,19.1,우수(B),직하류 고정보 및 배수문 영향,환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
57,57,1006685,원주시(봉미교),Wonjusi(Bongmigyo),한강,서곡천,INMARSAT/M2M,레이더식,강원특별자치도 원주시 흥업면 사제리 봉미교,127-53-41,37-20-06,127.8947222,37.335,2023-01-27,무,96.038,104.248,8,무,79.33,11.22,최적(A),"2022.12.23 관측소 신설 및 2023.1.27 관측개시, 상하류 고정보 영향",환경부,확대특보지점(신설),한강,지방,제외,,,지류,,,,,,,,,,,,,,,,,
58,58,1006690,원주시(문막교),Wonjusi(Munmakgyo),한강,섬강,VHF/M2M,부자식/레이더식,강원특별자치도 원주시 문막읍 문막리 문막교,127-48-37,37-18-18,127.8102778,37.305,1980-06-01,무,50.72,61.024,10,유,1347.96,11.2,최적(A),"1.13~1.14 동절기 하천결빙으로 결측, 횡성댐 방류 영향",환경부,현재특보지점,한강,국가,현재특보지점,O,,지류,,4.5,5.5,6.7,6.11,,O,44782,X,,O,O,X,●,,,기본
59,59,1007604,안성시(한평교),Anseongsi(Hanpyeonggyo),한강,청미천,VHF/M2M,레이더식,경기도 안성시 일죽면 고은리 한평교,127-26-01,37-06-23,127.4336111,37.10638889,2016-11-07,무,76.169,86.388,9,유,111.03,40.9,최적(A),"4.19~5.5, 5.16~5.19, 6.3~6.8 계기수위 오류로 결측, 상류 고정보 영향",환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
60,60,1007605,이천시(장호원교),Icheonsi(Janghowongyo),한강,청미천,VHF/M2M,부자식/레이더식,경기도 이천시 장호원읍 장호원리 장호원교,127-38-05,37-06-49,127.6347222,37.11361111,2006-10-23,무,56.683,66.238,7,유,435.94,19.73,최적(A),하류 고정보 영향,환경부,,한강,국가,,,,지류,,,,,,,,,,,,,,,,,
61,61,1007610,음성군(총천교),Eumseunggun(Chongcheongyo),한강,응천,VHF/M2M,부자식/레이더식,충청북도 음성군 감곡면 원당리 총천교,127-36-16,37-04-15,127.6044444,37.07083333,2007-12-08,무,67.13,73.086,4.3,무,99.50,1.7,최적(A),"1.1~1.13 동절기 하천결빙으로 결측, 2009년 이후 수위표 영점표고 및 검정수준점 표고 오류 수정, 하류 가동보 영향",환경부,확대특보지점,한강,지방,확대특보지점,O,,지류,,3,3.5,4.3,3.52,,O,44775,X,,O,X,X,●,,,기본
